OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-15008000,SALMON R NR HYDER AK,Stream,,19010106,107,sq mi,,,56.02581500000000,-130.0669823000000,63360,3,seconds,Interpolated from MAP.,NAD83,295.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,198,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15015593,UNUK R 1 MI AB BLUE RIVER NR WRANGELL AK,Stream,,19010105,,,,,56.25791667000000,-130.8202778000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,110,feet,10,feet,Interpolated from topographic map.,NAVD88,US,02,130,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15015595,UNUK R BL BLUE R NR WRANGELL AK,Stream,,19010105,745,sq mi,,,56.24020620000000,-130.8819864000000,63360,3,seconds,Interpolated from MAP.,NAD83,150,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,130,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15024800,STIKINE R NR WRANGELL AK,Stream,,19010207,19630,sq mi,,,56.70772188000000,-132.1319653000000,63360,10,seconds,Interpolated from MAP.,NAD83,25.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,275,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15041200,TAKU R NR JUNEAU AK,Stream,,19010304,6500,sq mi,,,58.53829828000000,-133.7017432000000,63360,10,seconds,Interpolated from MAP.,NAD83,50,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,110,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15052000,LEMON C NR JUNEAU AK,Stream,,19010301,12.3,sq mi,,,58.39134290000000,-134.4226062000000,63360,5,seconds,Interpolated from MAP.,NAD83,669.1,feet,.1,feet,Survey-grade GPSF,NAVD88,US,02,110,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15058700,GOVERNMENT C NR KETCHIKAN AK,Stream,,19010102,2.02,sq mi,,,55.34243020000000,-131.7005736000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,130,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15081497,STANEY C NR KLAWOCK AK,Stream,,19010103,48.9,sq mi,,,55.80102870000000,-133.1103222000000,63360,5,seconds,Interpolated from MAP.,NAD83,50,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,198,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15129120,ALSEK R AT DRY BAY NR YAKUTAT AK,Stream,,19010404,11000,sq mi,,,59.19280560000000,-138.3339167000000,63360,1,seconds,Interpolated from Digital MAP.,NAD83,50,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,282,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15292700,TALKEETNA R NR TALKEETNA AK,Stream,,19020503,2010,sq mi,,,62.34643880000000,-150.0192010000000,63360,10,seconds,Interpolated from MAP.,NAD83,400.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,170,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15565447,YUKON R AT PILOT STATION AK,Stream,,19090304,318300,sq mi,,,61.93368660000000,-162.8829356000000,63360,1,seconds,Interpolated from MAP.,NAD83,20.00,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,270,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-02429500,ALABAMA RIVER AT CLAIBORNE AL,Stream,,03150204,21967.00,sq mi,,,31.54682748000000,-87.5124908000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,0.40,feet,.01,feet,Unknown.,NGVD29,US,01,099,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-02469762,TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE,Stream,,03160201,18417.00,sq mi,18417.00,sq mi,31.75710180000000,-88.1250095000000,,1,seconds,Interpolated from MAP.,NAD83,0.00,feet,.10,feet,Level or other surveyed method.,NGVD29,US,01,023,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07047942,"LAnguille River near Colt, AR",Stream,,08020205,535,sq mi,535,sq mi,35.14472220000000,-90.8780556000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,192.52,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,123,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048495,"Town Branch at Armstrong St. at Fayetteville, AR",Stream,,11010001,,,,,36.04325830000000,-94.1360222000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1169.78,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048550,"West Fork White River east of Fayetteville, AR",Stream,,11010001,123,sq mi,,,36.05388889000000,-94.0830556000000,,10,seconds,Interpolated from MAP.,NAD83,1149.48,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048600,"White River near Fayetteville, AR",Stream,,11010001,400,sq mi,,,36.07305556000000,-94.0811111000000,,10,seconds,Interpolated from MAP.,NAD83,1138.25,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048700,"White River near Goshen, AR",Stream,,11010001,412,sq mi,,,36.10583330000000,-94.0111111000000,,10,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07048910,Beaver Lake at Hwy 412 bridge near Sonora,"Lake, Reservoir, Impoundment",,11010001,138,sq mi,,,36.17146545000000,-94.0204775000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07049160,War Eagle Creek above White River nr Lowell,Stream,,11010001,,,,,36.22319444000000,-94.0104444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07049187,"Beaver Lake ds Hickory Ck Landing nr Springdale,AR","Lake, Reservoir, Impoundment",,11010001,,,,,36.25027778000000,-94.0263333000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07049200,Beaver Lake near Lowell,"Lake, Reservoir, Impoundment",,11010001,993,sq mi,,,36.25924237000000,-94.0690902000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07049500,"Beaver Lake @ Hwy 12 bridge near Rogers, AR","Lake, Reservoir, Impoundment",,11010001,1020,sq mi,,,36.33229629000000,-94.0190894000000,,10,seconds,Interpolated from MAP.,NAD83,1006.47,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07049690,"Beaver Lake near Eureka Springs, AR","Lake, Reservoir, Impoundment",,11010001,1192.00,sq mi,,,36.42090508000000,-93.8474187000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,015,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07055770,"Buffalo Rv. near Hasty, AR",Stream,,11010005,,,,,36.00591667000000,-93.0809167000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,733,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,101,,,,,,,,,NWIS
